rank,index,ngram
1,25616,ript>
2,19293,ipt>
3,24619,pt>
4,26409,scr
5,26410,scri
6,26411,scrip
7,13675,cript
8,13674,crip
9,25611,ript
10,25610,rip
11,13673,cri
12,19283,ipt
13,9651,;i:
14,24620,pt> 
15,19294,ipt> 
16,27532,t> 
17,9745,</scr
18,9744,</sc
19,14935,e)<
20,14937,e)</s
21,14936,e)</
22,18733,ie)</
23,19945,kie)<
24,18732,ie)<
25,27290,t(do
26,27289,t(d
27,27291,t(doc
28,1673,(doc
29,1674,(docu
30,27335,t.coo
31,18730,ie)
32,22548,nt.co
33,23034,okie)
34,19943,kie)
35,2950,.coo
36,2951,.cook
37,15893,ent.c
38,21170,ment.
39,22547,nt.c
40,9776,<scri
41,9775,<scr
42,9774,<sc
43,24590,pt(
44,21465,mpt(
45,23173,ompt
46,23174,ompt(
47,24567,promp
48,25753,romp
49,25754,rompt
50,22873,ocu
51,28664,ument
52,28663,umen
53,14666,docu
54,14667,docum
55,13808,cumen
56,22874,ocum
57,22875,ocume
58,9238,: id
59,24623,pt> h
60,13807,cume
61,1672,(do
62,3688,/scri
63,13806,cum
64,3687,/scr
65,9743,</s
66,24565,prom
67,15892,ent.
68,27538,t> ho
69,27537,t> h
70,3686,/sc
71,21169,ment
72,22546,nt.
73,21168,men
74,10720,>pr
75,27583,t>pr
76,27584,t>pro
77,24639,pt>p
78,27582,t>p
79,10721,>pro
80,24640,pt>pr
81,19299,ipt>p
82,10722,>prom
83,24594,pt(do
84,24593,pt(d
85,21467,mpt(d
86,677, id=1
87,3380,/boar
88,9239,: id=
89,10061,=109
90,4441,09420
91,5665,20054
92,6749,43; 
93,6707,42005
94,6390,3; de
95,18740,ie: i
96,7240,543; 
97,14130,d=109
98,18623,id=10
99,7239,543;
100,14129,d=10
101,6750,43; d
102,6706,4200
103,6389,3; d
104,15119,e: id
105,8820,94200
106,4946,1094
107,4369,0543;
108,10062,=1094
109,4947,10942
110,4440,0942
111,14663,doc
112,21464,mpt
113,9584,; de
114,9585,; des
115,8819,9420
116,3379,/boa
117,12879,boar
118,12880,board
119,22816,oard
120,14434,de=<
121,22893,ode=<
122,22815,oar
123,14435,de=<s
124,12878,boa
125,15118,e: i
126,12206,ard
127,5663,2005
128,8818,942
129,10247,=<scr
130,10246,=<sc
131,10245,=<s
132,6388,3; 
133,1919,)</s
134,1920,)</sc
135,1918,)</
136,4368,0543
137,4162,00543
138,6705,420
139,676, id=
140,12547,b3/1.
141,28771,urll
142,2725,.26.9
143,18063,hon-u
144,20642,llib3
145,20641,llib
146,20515,lib3/
147,5842,26.9
148,2491,-urll
149,25674,rllib
150,25673,rlli
151,12546,b3/1
152,4839,1.26.
153,4838,1.26
154,18516,ib3/
155,23212,on-ur
156,6147,3/1.2
157,23211,on-u
158,18517,ib3/1
159,6146,3/1.
160,18062,hon-
161,27948,thon-
162,3227,/1.26
163,7633,6.9
164,28772,urlli
165,12545,b3/
166,21666,n-url
167,21665,n-ur
168,3226,/1.2
169,20514,lib3
170,18515,ib3
171,7238,543
172,9274,: pyt
173,9273,: py
174,27459,t: py
175,833, py
176,835, pyth
177,834, pyt
178,29731,y coo
179,6145,3/1
180,25672,rll
181,9583,; d
182,4837,1.2
183,23210,on-
184,4161,0054
185,10604,> h
186,22560,nt: p
187,4367,054
188,10606,> hos
189,10605,> ho
190,10058,=10
191,8776,91.0
192,4943,109
193,8775,91.
194,20640,lli
195,3378,/bo
196,27458,t: p
197,27333,t.co
198,28353,ty co
199,28352,ty c
200,19471,ity c
201,673, id
202,15229,e=<
203,20512,lib
204,29729,y co
205,29728,y c
206,11908,aler
207,11909,alert
208,20454,lert
209,15232,e=<s
210,15233,e=<sc
211,20455,lert(
212,24088,p=n
213,12157,app=n
214,24509,pp=n
215,18923,ileap
216,12802,bilea
217,15391,eapp=
218,20415,leap
219,20416,leapp
220,24508,pp=
221,12801,bile
222,22830,obile
223,12156,app=
224,11904,ale
225,16170,ert(
226,25883,rt(
227,743, mob
228,744, mobi
229,27172,t cod
230,22829,obil
231,21405,mobi
232,21406,mobil
233,21404,mob
234,29452,ww.c
235,29453,ww.co
236,29460,www.c
237,29248,w.c
238,29249,w.co
239,29250,w.col
240,12214,ard_l
241,25385,rd_l
242,14305,d_lis
243,14304,d_li
244,25386,rd_li
245,19357,ist c
246,24091,p=n;
247,24092,p=n; 
248,24511,pp=n;
249,15390,eapp
250,18922,ilea
251,5662,200
252,10449,=n; 
253,22828,obi
254,515, code
255,10448,=n;
256,13596,code=
257,14303,d_l
258,514, cod
259,20560,list 
260,19355,ist 
261,15389,eap
262,24561,pro
263,4157,005
264,22818,oard/
265,22891,ode=
266,12209,ard/
267,25352,rd/
268,28662,ume
269,12212,ard/b
270,25362,rd/bo
271,25361,rd/b
272,16169,ert
273,14002,d/bo
274,14003,d/boa
275,2943,.co
276,22819,oard_
277,14001,d/b
278,12213,ard_
279,14431,de=
280,2723,.26.
281,5839,26.
282,6748,43;
283,24683,pytho
284,29887,ython
285,29886,ytho
286,24681,pyt
287,24682,pyth
288,29885,yth
289,27946,thon
290,14484,denti
291,15912,entit
292,22606,ntity
293,18711,ident
294,28014,tity
295,18710,iden
296,29538,x/91
297,29539,x/91.
298,25942,rv:91
299,28951,v:91
300,8778,91.0)
