rank,index,ngram
1,9651,;i:
2,1731,) (
3,11572,aaa
4,11573,aaaa
5,26769,sql
6,4885,10.0.
7,2583,.0.1
8,3956,0.0.1
9,3979,0.17.
10,3978,0.17
11,2585,.0.17
12,2683,.17.
13,5258,17.
14,2682,.17
15,21033,map
16,26777,sqlm
17,26778,sqlma
18,24856,qlm
19,24857,qlma
20,24858,qlmap
21,20652,lmap
22,20651,lma
23,4843,1.6
24,18437,i:5
25,9673,;i:5
26,11574,aaaaa
27,9114,: 10
28,27437,t: 10
29,9115,: 10.
30,9665,;i:4
31,18422,i:4
32,18199,hr(
33,13454,chr(
34,29459,www.
35,29451,ww.
36,26570,sho
37,7591,6) 
38,18069,hop
39,26571,shop
40,1940,)||
41,28987,vas
42,18399,i:1
43,9652,;i:1
44,18891,ikt
45,20035,kto
46,18892,ikto
47,22296,nikto
48,22295,nikt
49,22294,nik
50,106, (e
51,19244,ions:
52,23333,ons:
53,22483,ns:
54,27879,test:
55,28081,to/
56,12280,asi
57,20036,kto/
58,18893,ikto/
59,4092,00 
60,14930,e) 
61,5622,2.1.6
62,3252,/2.1.
63,2649,.1.6
64,23283,one) 
65,23282,one)
66,22096,ne) 
67,22095,ne)
68,26633,sions
69,1680,(evas
70,7137,5.00 
71,7136,5.00
72,1734,) (t
73,22432,none)
74,2804,.6)
75,2805,.6) 
76,2806,.6) (
77,2607,.00 (
78,22484,ns:n
79,22485,ns:no
80,28083,to/2.
81,16399,evas
82,7592,6) (
83,1735,) (te
84,7593,6) (e
85,1711,(test
86,1710,(tes
87,125, (nik
88,1679,(eva
89,3278,/5.00
90,1678,(ev
91,4844,1.6)
92,4845,1.6) 
93,124, (ni
94,4094,00 (n
95,14931,e) (
96,22097,ne) (
97,2650,.1.6)
98,14932,e) (t
99,1699,(nikt
100,28990,vasi
101,1733,) (ev
102,16400,evasi
103,1732,) (e
104,9562,:none
105,9561,:non
106,110, (eva
107,109, (ev
108,4093,00 (
109,9560,:no
110,26259,s:n
111,23334,ons:n
112,22734,o/2.
113,20037,kto/2
114,26260,s:no
115,22735,o/2.1
116,26261,s:non
117,131, (tes
118,28991,vasio
119,1698,(nik
120,1697,(ni
121,3826,0 (ni
122,130, (te
123,28082,to/2
124,12281,asio
125,12282,asion
126,3251,/2.1
127,3250,/2.
128,1709,(te
129,29979,||c
130,1944,)||c
131,16397,eva
132,16295,est:
133,2606,.00 
134,3825,0 (n
135,2605,.00
136,5621,2.1.
137,123, (n
138,29980,||ch
139,1945,)||ch
140,129, (t
141,20634,lle
142,3967,0.1
143,29968,|chr
144,29981,||chr
145,29969,|chr(
146,23081,olle
147,13418,char
148,29967,|ch
149,23080,oll
150,9686,;i:7
151,18461,i:7
152,3061,.sh
153,21025,mall
154,11927,all.
155,11928,all.s
156,20613,ll.sh
157,20612,ll.s
158,3018,.mall
159,3017,.mal
160,3063,.shop
161,20163,l.sho
162,29254,w.mal
163,21026,mall.
164,3062,.sho
165,20161,l.s
166,20162,l.sh
167,29461,www.m
168,29251,w.m
169,29454,ww.m
170,29455,ww.ma
171,29252,w.ma
172,3014,.ma
173,27469,t:00
174,26950,st:0
175,16297,est:0
176,27468,t:0
177,26951,st:00
178,9330,:00
179,21024,mal
180,11920,all
181,24978,r(1
182,5354,1;i:
183,29456,www
184,5353,1;i
185,12878,boa
186,22816,oard
187,12880,board
188,12879,boar
189,22815,oar
190,12206,ard
191,3379,/boa
192,3380,/boar
193,12194,arch
194,26461,searc
195,15393,earc
196,15394,earch
197,26460,sear
198,25312,rch
199,15392,ear
200,12193,arc
201,26459,sea
202,20607,ll.
203,21994,nd 
204,5259,17.1
205,7971,7.19
206,2684,.17.1
207,5260,17.19
208,20419,lec
209,12026,and 
210,2686,.19
211,463, and
212,464, and 
213,1755,) co
214,462, an
215,4884,10.0
216,4883,10.
217,7970,7.1
218,20440,len
219,18200,hr(1
220,13455,chr(1
221,23351,onten
222,13636,conte
223,7974,7.2
224,22592,nten
225,2685,.17.2
226,5261,17.2
227,13713,ct 
228,22593,ntent
229,15476,ect 
230,23350,onte
231,27854,tent
232,6392,3;i:
233,6391,3;i
234,522, cont
235,27855,tent-
236,20422,lect
237,15888,ent-
238,15778,elect
239,26473,sele
240,26474,selec
241,15777,elec
242,26472,sel
243,20720,los
244,27851,ten
245,13552,clos
246,13551,clo
247,18558,ice
248,25106,r/l
249,16055,er/l
250,25108,r/log
251,25107,r/lo
252,16056,er/lo
253,23578,ose
254,988, www
255,987, ww
256,9303,: www
257,989, www.
258,27466,t: ww
259,9302,: ww
260,26949,st: w
261,512, clos
262,13553,close
263,20721,lose
264,511, clo
265,9207,: cl
266,9208,: clo
267,27465,t: w
268,26409,scr
269,21794,n: cl
270,11625,abl
271,510, cl
272,26410,scri
273,26411,scrip
274,23239,on: c
275,13675,cript
276,13674,crip
277,25611,ript
278,13600,col
279,15812,emb
280,1336,&se
281,11626,able
282,25610,rip
283,13673,cri
284,21793,n: c
285,21057,mber
286,21056,mbe
287,21167,membe
288,15814,ember
289,15813,embe
290,21166,memb
291,21165,mem
292,13601,coll
293,13602,colle
294,20635,lleg
295,20435,lege
296,15697,ege.
297,20436,lege.
298,20636,llege
299,23082,olleg
300,12744,ber
