rank,index,ngram
1,1731,) (
2,7591,6) 
3,20035,kto
4,18892,ikto
5,18891,ikt
6,22294,nik
7,22296,nikto
8,22295,nikt
9,23333,ons:
10,19244,ions:
11,22483,ns:
12,27879,test:
13,12280,asi
14,28081,to/
15,18893,ikto/
16,20036,kto/
17,5622,2.1.6
18,3252,/2.1.
19,2649,.1.6
20,23282,one)
21,22096,ne) 
22,23283,one) 
23,22095,ne)
24,26633,sions
25,16295,est:
26,130, (te
27,131, (tes
28,125, (nik
29,124, (ni
30,109, (ev
31,14931,e) (
32,28083,to/2.
33,9560,:no
34,9561,:non
35,9562,:none
36,26260,s:no
37,26259,s:n
38,14932,e) (t
39,1710,(tes
40,1732,) (e
41,1733,) (ev
42,1734,) (t
43,1735,) (te
44,1698,(nik
45,1711,(test
46,23334,ons:n
47,3826,0 (ni
48,20037,kto/2
49,2607,.00 (
50,2650,.1.6)
51,3278,/5.00
52,1678,(ev
53,1697,(ni
54,1680,(evas
55,1679,(eva
56,1699,(nikt
57,2804,.6)
58,2805,.6) 
59,16400,evasi
60,16399,evas
61,2806,.6) (
62,22734,o/2.
63,22735,o/2.1
64,4844,1.6)
65,4845,1.6) 
66,7592,6) (
67,7593,6) (e
68,7137,5.00 
69,22432,none)
70,22485,ns:no
71,22484,ns:n
72,4094,00 (n
73,4093,00 (
74,7136,5.00
75,22097,ne) (
76,28991,vasio
77,28990,vasi
78,110, (eva
79,26261,s:non
80,3251,/2.1
81,3250,/2.
82,28082,to/2
83,12282,asion
84,12281,asio
85,16397,eva
86,1709,(te
87,2606,.00 
88,3825,0 (n
89,2605,.00
90,5621,2.1.
91,123, (n
92,129, (t
93,14930,e) 
94,4092,00 
95,27469,t:00
96,27468,t:0
97,26951,st:00
98,9330,:00
99,26950,st:0
100,16297,est:0
101,106, (e
102,28987,vas
103,26513,servi
104,16183,ervic
105,29118,vice
106,25951,rvice
107,25950,rvic
108,16182,ervi
109,25949,rvi
110,27875,test
111,26510,serv
112,16177,erv
113,18558,ice
114,27871,tes
115,19324,irt
116,1756,) con
117,11572,aaa
118,9115,: 10.
119,27437,t: 10
120,9114,: 10
121,2515,../
122,2509,...
123,11573,aaaa
124,3956,0.0.1
125,22431,none
126,2583,.0.1
127,3978,0.17
128,3979,0.17.
129,2585,.0.17
130,9931,=/ 
131,5258,17.
132,4843,1.6
133,2683,.17.
134,2682,.17
135,4885,10.0.
136,13557,clude
137,20801,lude
138,20800,lud
139,13556,clud
140,19083,inclu
141,19082,incl
142,21977,nclu
143,21978,nclud
144,13555,clu
145,28508,ude
146,21976,ncl
147,1023,!--
148,9722,<!-
149,9723,<!--
150,3174,/..
151,2351,-> 
152,10251,"=\"""
153,10252,"=\""/"
154,22430,non
155,19327,irtu
156,14416,de vi
157,25917,rtua
158,19328,irtua
159,29150,virt
160,2293,--#
161,2294,--#i
162,24101,"p\""--"
163,11899,al=\
164,1168,#incl
165,1167,#inc
166,24100,"p\""-"
167,1087,"""/i"
168,1089,"""/ind"
169,1088,"""/in"
170,11900,"al=\"""
171,14415,de v
172,14885,e vir
173,14884,e vi
174,2295,--#in
175,9724,<!--#
176,1081,"""--"
177,1025,!--#i
178,1024,!--#
179,29151,virtu
180,25918,rtual
181,28302,tual
182,28303,tual=
183,10842,"\""-->"
184,10841,"\""--"
185,1082,"""-->"
186,19745,jsp\
187,19746,"jsp\"""
188,2320,--> 
189,10846,"\""/i"
190,10847,"\""/in"
191,20251,"l=\""/"
192,26738,sp\
193,1083,"""--> "
194,3010,.jsp\
195,10840,"\""-"
196,26739,"sp\"""
197,26740,"sp\""-"
198,20802,lude 
199,2264,-#in
200,28481,ual=
201,28510,ude v
202,28509,ude 
203,2265,-#inc
204,20250,"l=\"""
205,28482,ual=\
206,10253,"=\""/i"
207,968, virt
208,2319,-->
209,2263,-#i
210,425, <!-
211,426, <!--
212,10843,"\""/"
213,3008,.jsp
214,25916,rtu
215,424, <!
216,20249,l=\
217,29147,vir
218,24099,"p\"""
219,967, vir
220,11898,al=
221,11574,aaaaa
222,1166,#in
223,966, vi
224,19743,jsp
225,14414,de 
226,15192,e=/
227,14883,e v
228,23433,ope
229,15193,e=/ 
230,18563,ice:
231,29119,vice:
232,2088,+serv
233,4358,05&s
234,2087,+ser
235,4357,05&
236,18566,ice_n
237,24222,pen+
238,3982,0.2.1
239,23435,open+
240,11967,ame=/
241,24223,pen+s
242,15847,en+s
243,2662,.110
244,2663,.1105
245,2698,.2.11
246,21655,n+ser
247,9418,:3.0
248,18053,hod=o
249,13305,ce_n
250,13299,ce:3
251,22879,od=o
252,13300,ce:3.
253,9417,:3.
254,14232,d=ope
255,5624,2.110
256,4989,1105&
257,21133,me=/
258,21134,me=/ 
259,4925,105&
260,22880,od=op
261,4926,105&s
262,18564,ice:3
263,10474,=ope
264,29120,vice_
265,10475,=open
266,1342,&serv
267,4359,05&se
268,15848,en+se
269,4988,1105
270,7094,5&ser
271,9419,:3.0.
272,15142,e:3.0
273,15141,e:3.
274,13306,ce_na
275,15140,e:3
276,23434,open
277,739, met
278,740, meth
279,14231,d=op
280,10473,=op
281,18565,ice_
282,7092,5&s
283,7093,5&se
284,17810,h: 36
285,9151,: 36
286,1341,&ser
287,21653,n+s
288,21654,n+se
289,15846,en+
290,14230,d=o
291,9175,: 57
292,17822,h: 57
293,2697,.2.1
294,15339,e_na
295,15340,e_nam
296,318, 36
297,7972,7.19 
298,2687,.19 
299,28299,tua
300,24221,pen
