rank,index,ngram
1,9651,;i:
2,24858,qlmap
3,26777,sqlm
4,24857,qlma
5,24856,qlm
6,26778,sqlma
7,20652,lmap
8,20651,lma
9,21033,map
10,26769,sql
11,13454,chr(
12,18199,hr(
13,1940,)||
14,1944,)||c
15,29979,||c
16,29980,||ch
17,1945,)||ch
18,29969,|chr(
19,29981,||chr
20,29968,|chr
21,29967,|ch
22,13418,char
23,24978,r(1
24,21994,nd 
25,464, and 
26,12026,and 
27,463, and
28,462, an
29,20419,lec
30,18200,hr(1
31,13455,chr(1
32,26473,sele
33,26474,selec
34,15778,elect
35,15777,elec
36,20422,lect
37,16056,er/lo
38,25108,r/log
39,16055,er/l
40,25107,r/lo
41,26472,sel
42,25106,r/l
43,17899,har
44,14806,e (
45,27694,table
46,20423,lect 
47,880, sql
48,23871,"p,de"
49,23872,"p,def"
50,19267,"ip,de"
51,15476,ect 
52,3215,//sq
53,27461,t: sq
54,3216,//sql
55,14808,e (ht
56,1172,#st
57,12834,ble 
58,881, sqlm
59,12835,ble (
60,1174,#stab
61,21037,map/1
62,25550,rg)
63,3723,/sqlm
64,9285,: sql
65,9326,://sq
66,3034,.org)
67,20653,lmap.
68,11627,able 
69,12120,ap/1.
70,1173,#sta
71,12119,ap/1
72,14807,e (h
73,20654,lmap/
74,26988,stabl
75,23528,org)
76,20377,le (h
77,13713,ct 
78,9325,://s
79,879, sq
80,20376,le (
81,27692,tab
82,9284,: sq
83,21036,map/
84,2213,",de"
85,2214,",def"
86,2215,",defl"
87,26987,stab
88,27693,tabl
89,3722,/sql
90,23898,p/1.
91,1686,(http
92,116, (htt
93,115, (ht
94,1684,(ht
95,1685,(htt
96,21035,map.o
97,3721,/sq
98,23886,p.o
99,12114,ap.o
100,12115,ap.or
101,23887,p.or
102,23888,p.org
103,15812,emb
104,19266,"ip,d"
105,29934,"zip,d"
106,23870,"p,d"
107,23897,p/1
108,22561,nt: s
109,15814,ember
110,21167,membe
111,21166,memb
112,15813,embe
113,21056,mbe
114,21057,mber
115,23529,org) 
116,25551,rg) 
117,12025,and
118,21034,map.
119,17046,g) 
120,21165,mem
121,114, (h
122,20375,le 
123,18437,i:5
124,9673,;i:5
125,27460,t: s
126,3032,.or
127,3033,.org
128,3214,//s
129,12118,ap/
130,12744,ber
131,506, char
132,505, cha
133,11626,able
134,28822,utf
135,10554,=ut
136,14470,ded;
137,22906,oded;
138,14471,ded; 
139,15575,ed; c
140,14099,d; c
141,14100,d; ch
142,15574,ed; 
143,9665,;i:4
144,18422,i:4
145,21794,n: cl
146,15573,ed;
147,9207,: cl
148,9208,: clo
149,25870,rset=
150,26523,set=u
151,16332,et=u
152,16333,et=ut
153,10556,=utf-
154,27527,t=ut
155,27528,t=utf
156,10555,=utf
157,27526,t=u
158,9580,; cha
159,26522,set=
160,13553,close
161,512, clos
162,20721,lose
163,23239,on: c
164,11625,abl
165,14098,d; 
166,511, clo
167,16331,et=
168,2344,-8 c
169,2345,-8 co
170,16545,f-8 c
171,9579,; ch
172,21793,n: c
173,1703,(se
174,13421,chars
175,17909,harse
176,27887,tf-8 
177,2343,-8 
178,17908,hars
179,12245,arset
180,16544,f-8 
181,1705,(sele
182,1704,(sel
183,25869,rset
184,12244,arse
185,510, cl
186,28823,utf-
187,27885,tf-
188,27886,tf-8
189,28824,utf-8
190,12243,ars
191,16543,f-8
192,24576,ps:/
193,24577,ps://
194,28156,tps:/
195,28292,ttps:
196,28155,tps:
197,4846,1.6.
198,26257,s://s
199,23900,p/1.6
200,3230,/1.6
201,3231,/1.6.
202,2810,.6.
203,18272,https
204,28291,ttps
205,25868,rse
206,23578,ose
207,26256,s://
208,26255,s:/
209,24575,ps:
210,28154,tps
211,13552,clos
212,20720,los
213,13551,clo
214,15774,ele
215,23527,org
216,24989,r(11
217,1569,(11
218,9578,; c
219,9206,: c
220,7937,7#s
221,2829,.7#
222,2830,.7#s
223,2831,.7#st
224,7938,7#st
225,7939,7#sta
226,801, ord
227,17954,he u
228,17955,he us
229,13432,che u
230,16126,eri
231,16129,erid
232,2155,",1)"
233,21058,mber/
234,12745,ber/
235,25585,rid
236,12747,ber/l
237,26503,serid
238,16130,erid=
239,26502,seri
240,3601,/memb
241,3600,/mem
242,22983,ogin 
243,28800,useri
244,25586,rid=
245,16043,er/
246,18461,i:7
247,9686,;i:7
248,9652,;i:1
249,18399,i:1
250,25588,rid=a
251,23081,olle
252,18202,hr(11
253,23080,oll
254,3599,/me
255,20634,lle
256,5354,1;i:
257,4848,1.6.7
258,2813,.6.7
259,2814,.6.7#
260,7631,6.7#
261,7632,6.7#s
262,7630,6.7
263,5353,1;i
264,12111,ap.
265,1311,&pas
266,1312,&pass
267,29404,word=
268,23496,ord=
269,26986,sta
270,1357,&user
271,1574,(113
272,1575,(113)
273,1355,&use
274,1354,&us
275,25363,rd=
276,24992,r(113
277,5002,113)
278,1306,&pa
279,25737,rom 
280,16943,from 
281,6391,3;i
282,6392,3;i:
283,5110,13)
284,18069,hop
285,26571,shop
286,29861,ype=
287,28383,type=
288,22633,nul
289,22634,null
290,24192,pe=
291,23817,p ty
292,23818,p typ
293,18145,hp ty
294,26570,sho
295,28634,ull
296,925, typ
297,926, type
298,9531,:80/
299,11928,all.s
300,20612,ll.s
