rank,index,ngram
1,8326,document .
2,581,( document
3,7930,cookie )
4,8325,document
5,1434,. cookie
6,12349,prompt (
7,12348,prompt
8,5927,> prompt
9,5369,</script
10,5371,</script >
11,5820,>
12,5434,<script >
13,5433,<script
14,4862,: id
15,2990,1094200543 ;
16,5475,= 1094200543
17,2989,1094200543
18,5165,; designart_site
19,5541,= <script
20,12392,python -
21,14062,urllib3 /
22,1248,- urllib3
23,14061,urllib3
24,9732,identity cookie
25,4987,: python
26,684,) </script
27,5911,> host
28,9637,i :
29,5189,; i
30,4470,91 .
31,7343,board_list code
32,1788,/ board_list
33,7341,board_list
34,7732,code =
35,4469,91
36,7730,code
37,9719,id =
38,7336,board /
39,12391,python
40,1786,/ board
41,7334,board
42,10954,mobileapp
43,10955,mobileapp =
44,9728,identity
45,3546,26 .
46,4863,: identity
47,6772,alert
48,5694,= n
49,6773,alert (
50,13044,school accept
51,8217,designart_site =
52,8216,designart_site
53,5072,: www
54,11198,n ;
55,1360,. 26
56,3545,26
57,14475,www .
58,9716,id
59,5456,= &
60,1691,/ 91
61,1571,. school
62,1429,. college
63,13041,school
64,4738,: 91
65,5886,> alert
66,4915,: mobileapp
67,14359,webp */
68,5298,; shopreferer
69,5230,; mobileapp
70,7739,college .
71,7738,college
72,11190,n
73,8266,direct ;
74,4760,: alert
75,6030,\ \
76,5314,; upgrade
77,4532,: 0
78,14296,vulnerable
79,9993,javascript :
80,14297,vulnerable '
81,5610,= direct
82,13282,shopreferer
83,13283,shopreferer =
84,8265,direct
85,10814,marketplace =
86,5228,; marketplace
87,10813,marketplace
88,1791,/ board_write
89,7351,board_write
90,429,' vulnerable
91,459,( 1
92,5535,= ;
93,5137,; </script
94,7352,board_write code
95,169,&
96,5877,> <script
97,5537,= </script
98,9990,javascript
99,13272,shop user
100,13412,src =
101,5406,<img src
102,5405,<img
103,1355,. 2171
104,1670,/ 39
105,4492,95 safari
106,6215,_10_1 )
107,3469,2171
108,3470,2171 .
109,2883,10 _10_1
110,3730,39 .
111,6214,_10_1
112,1393,. 95
113,11598,onerror =
114,11597,onerror
115,5554,= alert
116,3720,38 ;
117,4676,: 38
118,5821,> &
119,5666,= javascript
120,5903,> dump_sql
121,10794,mall
122,10795,mall .
123,1506,. mall
124,1572,. shop
125,227,& iframe
126,9754,iframe
127,9271,goods_seq
128,221,& goods_seq
129,2771,1 :
130,13265,shop
131,13725,today_view
132,5305,; today_view
133,13726,today_view =
134,3718,38
135,9273,goods_seq =
136,9756,iframe =
137,11738,os
138,6298,a :
139,4050,5397 )
140,4049,5397
141,508,( 5397
142,5865,> <
143,11739,os x
144,9893,intel mac
145,14491,x 10
146,9892,intel
147,10768,mac os
148,5192,; intel
149,328,"' """
150,4860,: i
