rank,index,ngram
1,9637,i :
2,5189,; i
3,648,) (
4,13404,sqlmap
5,1380,. 6
6,327,'
7,169,&
8,3218,17 .
9,1349,. 17
10,4586,: 10
11,7656,chr (
12,7655,chr
13,14475,www .
14,14993,||
15,11350,nikto
16,13652,test :
17,4118,6 )
18,586,( evasions
19,609,( nikto
20,621,( test
21,11352,nikto /
22,11394,none )
23,8696,evasions :
24,2607,00 (
25,4971,: none
26,8695,evasions
27,789,) ||
28,1314,. 00
29,2606,00
30,3217,17
31,5999,"\ """
32,1650,/ 2
33,5820,>
34,14473,www
35,2871,10
36,14998,|| chr
37,6918,and
38,7739,college .
39,7738,college
40,1351,. 19
41,5456,= &
42,7886,content
43,7887,content -
44,13265,shop
45,1506,. mall
46,10795,mall .
47,10794,mall
48,1572,. shop
49,649,) )
50,7687,close
51,4779,: close
52,13182,select
53,2878,10 .
54,5072,: www
55,11672,org
56,1525,. org
57,13436,stable
58,2319,/ sqlmap
59,11673,org )
60,13405,sqlmap .
61,133,# stable
62,5030,: sqlmap
63,13406,sqlmap /
64,13437,stable (
65,5471,= 1
66,13041,school
67,1571,. school
68,1429,. college
69,13647,test
70,7639,charset
71,14169,utf
72,14170,utf -
73,5158,; charset
74,7641,charset =
75,5796,= utf
76,93,#
77,14045,urlencoded ;
78,9716,id
79,9615,https
80,9616,https :
81,868,- 8
82,593,( https
83,618,( select
84,1286,--
85,2755,1 &
86,1302,.
87,2456,0
88,4220,7 #
89,2153,/ member
90,10871,member
91,10872,member /
92,7334,board
93,13862,type
94,1786,/ board
95,7545,cache user
96,11876,password
97,14134,userid =
98,14133,userid
99,7336,board /
100,5465,= 0
101,1353,. 20
102,1311,. .
103,4349,80
104,8216,designart_site
105,8217,designart_site =
106,9035,from
107,9719,id =
108,1619,/
109,1384,. 7
110,3357,20
111,13044,school accept
112,11880,password =
113,265,& password
114,1099,- length
115,10409,length
116,10410,length :
117,718,) content
118,5464,= /
119,5544,= \
120,4669,: 3
121,13864,type =
122,12061,php type
123,5457,= '
124,10055,jsp
125,1496,. jsp
126,9843,include
127,5345,< --
128,4532,: 0
129,4725,: 80
130,1293,-- >
131,13072,search
132,11393,none
133,6,""" --"
134,4674,: 36
135,7730,code
136,122,# include
137,1287,-- #
138,14268,virtual =
139,10057,jsp \
140,9845,include virtual
141,14267,virtual
142,183,& arr_search_list
143,7112,arr_search_list
144,8,""" /"
145,7732,code =
146,4351,80 /
147,4219,7
148,5553,= admin
149,1246,- urlencoded
150,14044,urlencoded
