rank,index,ngram
1,648,) (
2,11350,nikto
3,13652,test :
4,586,( evasions
5,4118,6 )
6,2607,00 (
7,11394,none )
8,609,( nikto
9,621,( test
10,4971,: none
11,11352,nikto /
12,8696,evasions :
13,8695,evasions
14,1314,. 00
15,2606,00
16,1650,/ 2
17,5999,"\ """
18,13647,test
19,1311,. .
20,5464,= /
21,11393,none
22,1380,. 6
23,4586,: 10
24,13228,service :
25,11628,open
26,5705,= open
27,291,& service_name
28,11629,open service
29,3008,1105 &
30,3007,1105
31,13230,service_name =
32,1331,. 1105
33,13229,service_name
34,10888,method
35,4700,: 57
36,10889,method =
37,13227,service
38,9843,include
39,3218,17 .
40,1349,. 17
41,5345,< --
42,4099,57
43,1496,. jsp
44,10055,jsp
45,14268,virtual =
46,122,# include
47,1287,-- #
48,10057,jsp \
49,9845,include virtual
50,14267,virtual
51,4674,: 36
52,8,""" /"
53,1293,-- >
54,718,) content
55,6,""" --"
56,3330,2 .
57,5544,= \
58,1312,. /
59,1351,. 19
60,1352,. 2
61,3274,19 content
62,1629,/ .
63,1520,. net
64,11322,net
65,13853,txt ?
66,1870,/ cirt
67,2259,/ rfiinc
68,11323,net /
69,7671,cirt
70,12826,rfiinc
71,12827,rfiinc .
72,7672,cirt .
73,5976,? method
74,5341,<
75,3217,17
76,3596,3 .
77,717,) connection
78,9852,index
79,2074,/ index
80,9853,index .
81,6815,alive content
82,1286,--
83,7886,content
84,7887,content -
85,7617,cgi
86,1889,/ content
87,4669,: 3
88,3322,2
89,14052,urlencoded host
90,5656,= http
91,2878,10 .
92,1354,. 21
93,3459,21
94,5896,> content
95,3290,19 user
96,14060,urlencoded user
97,2871,10
98,1862,/ cgi
99,3262,19
100,4103,57 connection
101,1696,/ <
102,7618,cgi -
103,1593,. txt
104,13851,txt
105,5956,? ?
106,2375,/ user
107,1246,- urlencoded
108,14044,urlencoded
109,2157,/ method
110,14474,www -
111,1276,- www
112,1018,- form
113,5895,> connection
114,4105,57 host
115,1234,- type
116,13863,type :
117,1099,- length
118,10410,length :
119,10409,length
120,9002,form -
121,14473,www
122,1884,/ connection
123,4764,: application
124,2,""""
125,3592,3
126,7304,bin
127,2409,/ x
128,7100,arachni
129,2025,/ host
130,11443,nt 6
131,13862,type
132,10904,microsoft
133,7306,bin /
134,1680,/ 534
135,4043,534
136,4104,57 content
137,7161,at
138,923,- bin
139,559,( at
140,10905,microsoft .
141,4044,534 (
142,7309,bingpreview
143,4772,: bingbot
144,4812,: from
145,707,) bingpreview
146,758,) microsoft
147,9038,from :
148,7310,bingpreview /
149,7308,bingbot (
150,7307,bingbot
