rank,index,ngram
1,9637,i :
2,5189,; i
3,13404,sqlmap
4,7656,chr (
5,7655,chr
6,14993,||
7,789,) ||
8,327,'
9,14998,|| chr
10,6918,and
11,649,) )
12,13182,select
13,5030,: sqlmap
14,11673,org )
15,2319,/ sqlmap
16,13436,stable
17,13406,sqlmap /
18,13437,stable (
19,13405,sqlmap .
20,133,# stable
21,1525,. org
22,11672,org
23,4779,: close
24,7687,close
25,14045,urlencoded ;
26,7641,charset =
27,5796,= utf
28,5158,; charset
29,7639,charset
30,14170,utf -
31,14169,utf
32,618,( select
33,593,( https
34,9616,https :
35,9615,https
36,868,- 8
37,4220,7 #
38,7545,cache user
39,14133,userid
40,14134,userid =
41,10872,member /
42,10871,member
43,2153,/ member
44,11876,password
45,169,&
46,1384,. 7
47,265,& password
48,11880,password =
49,5471,= 1
50,12061,php type
51,13864,type =
52,4351,80 /
53,768,) referer
54,314,& userid
55,4725,: 80
56,475,( 113
57,3022,113 )
58,9035,from
59,451,( (
60,5553,= admin
61,7133,asdf
62,5563,= asdf
63,347,' =
64,7908,controller
65,7909,controller /
66,1890,/ controller
67,1353,. 20
68,734,) from
69,4219,7
70,4349,80
71,8167,deflate content
72,5457,= '
73,7126,as
74,7471,by
75,3362,20 accept
76,11666,order by
77,11664,order
78,3357,20
79,353,' and
80,2755,1 &
81,6920,and '
82,5685,= login
83,93,#
84,10794,mall
85,1572,. shop
86,10795,mall .
87,1506,. mall
88,719,) cookie
89,10668,login &
90,655,) 0
91,13265,shop
92,3085,123456
93,7637,char
94,7638,char (
95,5481,= 123456
96,7576,cast (
97,7575,cast
98,695,) and
99,6642,admin '
100,10679,login host
101,3089,123456 content
102,10466,limit
103,564,( cast
104,11300,nchar
105,14537,x20 )
106,11301,nchar )
107,14536,x20
108,2583,0 x20
109,7129,as nchar
110,9753,ifnull (
111,607,( mid
112,10907,mid
113,6940,and ord
114,10908,mid (
115,9752,ifnull
116,11661,ord (
117,13203,select ifnull
118,11660,ord
119,11753,owa
120,1510,. members
121,4333,8 ndjmp9vjimv0n3ppkhi1mh9ln
122,11311,ndjmp9vjimv0n3ppkhi1mh9ln host
123,11310,ndjmp9vjimv0n3ppkhi1mh9ln
124,9040,from college
125,7473,by id
126,10874,members order
127,9722,id limit
128,10873,members
129,6639,admin
130,1635,/ 10
131,7738,college
132,7739,college .
133,5456,= &
134,13183,select (
135,2873,10 #
136,14475,www .
137,1634,/ 1
138,11460,null
139,6921,and (
140,686,) >
141,4323,8 connection
142,13075,search =
143,10682,login userid
144,2407,/ www
145,929,- cache
146,11371,no -
147,13268,shop accept
148,712,) char
149,4970,: no
150,183,& arr_search_list
