payload,raw_label,label,source_file,source_split,source_row_id,sample_id,payload_raw,payload_norm,request_line,request_line_norm,request_method,request_target,path_only,path_norm,query_string,query_norm,headers_text,headers_norm,body_text,body_norm,host_header,user_agent,content_type,tfidf_text,y_true,y_pred
GET /htbin/fom/fom.cgi?cmd=<script>alert('Vulnerable')</script>&file=1&keywords=vulnerable HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000756)\r\nHost: 10.0.17.19\r\nContent-Type: application/x-www-form-urlencoded\r\nConnection: Keep-Alive\r\nContent-Length: 6\r\n\r\nMYDATA,HOST_Scan,PortScan,HOST_Scan.csv,unspecified,14569,HOST_Scan.csv::14569,"GET /htbin/fom/fom.cgi?cmd=<script>alert('Vulnerable')</script>&file=1&keywords=vulnerable HTTP/1.1
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000756)
Host: 10.0.17.19
Content-Type: application/x-www-form-urlencoded
Connection: Keep-Alive
Content-Length: 6

MYDATA",get /htbin/fom/fom.cgi?cmd=<script>alert('vulnerable')</script>&file=1&keywords=vulnerable http/1.1 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000756) host: 10.0.17.19 content-type: application/x-www-form-urlencoded connection: keep-alive content-length: 6 mydata,GET /htbin/fom/fom.cgi?cmd=<script>alert('Vulnerable')</script>&file=1&keywords=vulnerable HTTP/1.1,get /htbin/fom/fom.cgi?cmd=<script>alert('vulnerable')</script>&file=1&keywords=vulnerable http/1.1,GET,/htbin/fom/fom.cgi?cmd=<script>alert('Vulnerable')</script>&file=1&keywords=vulnerable,/htbin/fom/fom.cgi,/htbin/fom/fom.cgi,cmd=<script>alert('Vulnerable')</script>&file=1&keywords=vulnerable,cmd=<script>alert('vulnerable')</script>&file=1&keywords=vulnerable,"User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000756)
Host: 10.0.17.19
Content-Type: application/x-www-form-urlencoded
Connection: Keep-Alive
Content-Length: 6",user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000756) host: 10.0.17.19 content-type: application/x-www-form-urlencoded connection: keep-alive content-length: 6,MYDATA,mydata,10.0.17.19,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000756),application/x-www-form-urlencoded,/htbin/fom/fom.cgi cmd=<script>alert('vulnerable')</script>&file=1&keywords=vulnerable mydata user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000756) host: 10.0.17.19 content-type: application/x-www-form-urlencoded connection: keep-alive content-length: 6,PortScan,Cross_Site_Scripting
"GET /fcgi-bin/echo?foo=<script>alert('Vulnerable')</script> HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:001227)\r\nHost: 10.0.17.19\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 36\r\nConnection: Keep-Alive\r\n\r\n<!--#include virtual=\""/index.jsp\""-->",Cross_Site_Scripting,Cross_Site_Scripting,Cross_Site_Scripting.csv,unspecified,14649,Cross_Site_Scripting.csv::14649,"GET /fcgi-bin/echo?foo=<script>alert('Vulnerable')</script> HTTP/1.1
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:001227)
Host: 10.0.17.19
Content-Type: application/x-www-form-urlencoded
Content-Length: 36
Connection: Keep-Alive

<!--#include virtual=\""/index.jsp\""-->","get /fcgi-bin/echo?foo=<script>alert('vulnerable')</script> http/1.1 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:001227) host: 10.0.17.19 content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive <!--#include virtual=\""/index.jsp\""-->",GET /fcgi-bin/echo?foo=<script>alert('Vulnerable')</script> HTTP/1.1,get /fcgi-bin/echo?foo=<script>alert('vulnerable')</script> http/1.1,GET,/fcgi-bin/echo?foo=<script>alert('Vulnerable')</script>,/fcgi-bin/echo,/fcgi-bin/echo,foo=<script>alert('Vulnerable')</script>,foo=<script>alert('vulnerable')</script>,"User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:001227)
Host: 10.0.17.19
Content-Type: application/x-www-form-urlencoded
Content-Length: 36
Connection: Keep-Alive",user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:001227) host: 10.0.17.19 content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive,"<!--#include virtual=\""/index.jsp\""-->","<!--#include virtual=\""/index.jsp\""-->",10.0.17.19,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:001227),application/x-www-form-urlencoded,"/fcgi-bin/echo foo=<script>alert('vulnerable')</script> <!--#include virtual=\""/index.jsp\""--> user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:001227) host: 10.0.17.19 content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive",Cross_Site_Scripting,PortScan
GET /bWAPP/referrers HTTP/1.1\r\!DNT: 1\r\nUser-Agent9 Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)\r\nAccept: */*\r\nHost: 192.168.1.101,0,Normal,Training_Normals.csv,unspecified,16701,Training_Normals.csv::16701,"GET /bWAPP/referrers HTTP/1.1\r\!DNT: 1
User-Agent9 Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
Accept: */*
Host: 192.168.1.101",get /bwapp/referrers http/1.1\r\!dnt: 1 user-agent9 mozilla/4.0 (compatible; msie 6.0; windows nt 5.1) accept: */* host: 192.168.1.101,GET /bWAPP/referrers HTTP/1.1\r\!DNT: 1,get /bwapp/referrers http/1.1\r\!dnt: 1,,,,,,,"Accept: */*
Host: 192.168.1.101",accept: */* host: 192.168.1.101,,,192.168.1.101,,,accept: */* host: 192.168.1.101,Normal,PortScan
GET /app/plugins/php_plugin/phpinfo.php HTTP/1.1\r\nHost: 10.0.17.21\r\nContent-Length: 47\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007093)\r\nContent-Type: application/x-www-form-urlencoded\r\n\r\n<script>alert('XSS')</script>[]=PATH DISCLOSURE,HOST_Scan,PortScan,HOST_Scan.csv,unspecified,391,HOST_Scan.csv::391,"GET /app/plugins/php_plugin/phpinfo.php HTTP/1.1
Host: 10.0.17.21
Content-Length: 47
Connection: Keep-Alive
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007093)
Content-Type: application/x-www-form-urlencoded

<script>alert('XSS')</script>[]=PATH DISCLOSURE",get /app/plugins/php_plugin/phpinfo.php http/1.1 host: 10.0.17.21 content-length: 47 connection: keep-alive user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007093) content-type: application/x-www-form-urlencoded <script>alert('xss')</script>[]=path disclosure,GET /app/plugins/php_plugin/phpinfo.php HTTP/1.1,get /app/plugins/php_plugin/phpinfo.php http/1.1,GET,/app/plugins/php_plugin/phpinfo.php,/app/plugins/php_plugin/phpinfo.php,/app/plugins/php_plugin/phpinfo.php,,,"Host: 10.0.17.21
Content-Length: 47
Connection: Keep-Alive
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007093)
Content-Type: application/x-www-form-urlencoded",host: 10.0.17.21 content-length: 47 connection: keep-alive user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007093) content-type: application/x-www-form-urlencoded,<script>alert('XSS')</script>[]=PATH DISCLOSURE,<script>alert('xss')</script>[]=path disclosure,10.0.17.21,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007093),application/x-www-form-urlencoded,/app/plugins/php_plugin/phpinfo.php <script>alert('xss')</script>[]=path disclosure host: 10.0.17.21 content-length: 47 connection: keep-alive user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007093) content-type: application/x-www-form-urlencoded,PortScan,Cross_Site_Scripting
"GET /sub_04_1.php?search=%EF%BC%87or%201=1--%20- HTTP/1.1\r\nHost: lab.college.school\r\nConnection: keep-alive\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/10.0.2.4 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nReferer: http://lab.college.school/sub_04_1.php?search=%27%20or1=1%27\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: PHPSESSID=kbf1voj7erbo142a7dhef2tq67\r\n\r\n",SQL_Injection,SQL_Injection,SQL_Injection.csv,unspecified,31462,SQL_Injection.csv::31462,"GET /sub_04_1.php?search=%EF%BC%87or%201=1--%20- HTTP/1.1
Host: lab.college.school
Connection: keep-alive
Upgrade-Insecure-Requests: 1
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/10.0.2.4 Safari/537.36
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
Referer: http://lab.college.school/sub_04_1.php?search=%27%20or1=1%27
Accept-Encoding: gzip, deflate
Accept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7
Cookie: PHPSESSID=kbf1voj7erbo142a7dhef2tq67

","get /sub_04_1.php?search=＇or 1=1-- - http/1.1 host: lab.college.school connection: keep-alive upgrade-insecure-requests: 1 user-agent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/10.0.2.4 safari/537.36 accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9 referer: http://lab.college.school/sub_04_1.php?search=' or1=1' accept-encoding: gzip, deflate accept-language: ko-kr,ko;q=0.9,en-us;q=0.8,en;q=0.7 cookie: phpsessid=kbf1voj7erbo142a7dhef2tq67",GET /sub_04_1.php?search=%EF%BC%87or%201=1--%20- HTTP/1.1,get /sub_04_1.php?search=＇or 1=1-- - http/1.1,GET,/sub_04_1.php?search=%EF%BC%87or%201=1--%20-,/sub_04_1.php,/sub_04_1.php,search=%EF%BC%87or%201=1--%20-,search=＇or 1=1-- -,"Host: lab.college.school
Connection: keep-alive
Upgrade-Insecure-Requests: 1
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/10.0.2.4 Safari/537.36
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
Referer: http://lab.college.school/sub_04_1.php?search=%27%20or1=1%27
Accept-Encoding: gzip, deflate
Accept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7
Cookie: PHPSESSID=kbf1voj7erbo142a7dhef2tq67","host: lab.college.school connection: keep-alive upgrade-insecure-requests: 1 user-agent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/10.0.2.4 safari/537.36 accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9 referer: http://lab.college.school/sub_04_1.php?search=' or1=1' accept-encoding: gzip, deflate accept-language: ko-kr,ko;q=0.9,en-us;q=0.8,en;q=0.7 cookie: phpsessid=kbf1voj7erbo142a7dhef2tq67",,,lab.college.school,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/10.0.2.4 Safari/537.36",,"/sub_04_1.php search=＇or 1=1-- - host: lab.college.school connection: keep-alive upgrade-insecure-requests: 1 user-agent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/10.0.2.4 safari/537.36 accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9 referer: http://lab.college.school/sub_04_1.php?search=' or1=1' accept-encoding: gzip, deflate accept-language: ko-kr,ko;q=0.9,en-us;q=0.8,en;q=0.7 cookie: phpsessid=kbf1voj7erbo142a7dhef2tq67",SQL_Injection,PortScan
"GET /SiteServer/Knowledge/Default.asp?ctr=\\\""><script>alert('Vulnerable')</script> HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000734)\r\nHost: www.mall.shop\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 36\r\nConnection: Keep-Alive\r\n\r\n<!--#include virtual=\""/index.jsp\""-->",HOST_Scan,PortScan,HOST_Scan.csv,unspecified,14542,HOST_Scan.csv::14542,"GET /SiteServer/Knowledge/Default.asp?ctr=\\\""><script>alert('Vulnerable')</script> HTTP/1.1
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000734)
Host: www.mall.shop
Content-Type: application/x-www-form-urlencoded
Content-Length: 36
Connection: Keep-Alive

<!--#include virtual=\""/index.jsp\""-->","get /siteserver/knowledge/default.asp?ctr=\\\""><script>alert('vulnerable')</script> http/1.1 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000734) host: www.mall.shop content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive <!--#include virtual=\""/index.jsp\""-->","GET /SiteServer/Knowledge/Default.asp?ctr=\\\""><script>alert('Vulnerable')</script> HTTP/1.1","get /siteserver/knowledge/default.asp?ctr=\\\""><script>alert('vulnerable')</script> http/1.1",GET,"/SiteServer/Knowledge/Default.asp?ctr=\\\""><script>alert('Vulnerable')</script>",/SiteServer/Knowledge/Default.asp,/siteserver/knowledge/default.asp,"ctr=\\\""><script>alert('Vulnerable')</script>","ctr=\\\""><script>alert('vulnerable')</script>","User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000734)
Host: www.mall.shop
Content-Type: application/x-www-form-urlencoded
Content-Length: 36
Connection: Keep-Alive",user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000734) host: www.mall.shop content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive,"<!--#include virtual=\""/index.jsp\""-->","<!--#include virtual=\""/index.jsp\""-->",www.mall.shop,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000734),application/x-www-form-urlencoded,"/siteserver/knowledge/default.asp ctr=\\\""><script>alert('vulnerable')</script> <!--#include virtual=\""/index.jsp\""--> user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000734) host: www.mall.shop content-type: application/x-www-form-urlencoded content-length: 36 connection: keep-alive",PortScan,Cross_Site_Scripting
GET /api/jsonws/ HTTP/1.1\r\nHost: 10.0.17.19\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007150)\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 47\r\nConnection: Keep-Alive\r\n\r\n<script>alert('XSS')</script>[]=PATH DISCLOSURE,HOST_Scan,PortScan,HOST_Scan.csv,unspecified,20770,HOST_Scan.csv::20770,"GET /api/jsonws/ HTTP/1.1
Host: 10.0.17.19
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007150)
Content-Type: application/x-www-form-urlencoded
Content-Length: 47
Connection: Keep-Alive

<script>alert('XSS')</script>[]=PATH DISCLOSURE",get /api/jsonws/ http/1.1 host: 10.0.17.19 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007150) content-type: application/x-www-form-urlencoded content-length: 47 connection: keep-alive <script>alert('xss')</script>[]=path disclosure,GET /api/jsonws/ HTTP/1.1,get /api/jsonws/ http/1.1,GET,/api/jsonws/,/api/jsonws/,/api/jsonws/,,,"Host: 10.0.17.19
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007150)
Content-Type: application/x-www-form-urlencoded
Content-Length: 47
Connection: Keep-Alive",host: 10.0.17.19 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007150) content-type: application/x-www-form-urlencoded content-length: 47 connection: keep-alive,<script>alert('XSS')</script>[]=PATH DISCLOSURE,<script>alert('xss')</script>[]=path disclosure,10.0.17.19,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:007150),application/x-www-form-urlencoded,/api/jsonws/ <script>alert('xss')</script>[]=path disclosure host: 10.0.17.19 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:007150) content-type: application/x-www-form-urlencoded content-length: 47 connection: keep-alive,PortScan,Cross_Site_Scripting
"GET /servlet/ContentServer?pagename=<script>alert('Vulnerable')</script> HTTP/1.1\r\nConnection: Keep-Alive\r\nContent-Length: 36\r\nHost: 10.0.17.21\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000793)\r\nContent-Type: application/x-www-form-urlencoded\r\n\r\n<!--#include virtual=\""/index.jsp\""-->",HOST_Scan,PortScan,HOST_Scan.csv,unspecified,40830,HOST_Scan.csv::40830,"GET /servlet/ContentServer?pagename=<script>alert('Vulnerable')</script> HTTP/1.1
Connection: Keep-Alive
Content-Length: 36
Host: 10.0.17.21
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000793)
Content-Type: application/x-www-form-urlencoded

<!--#include virtual=\""/index.jsp\""-->","get /servlet/contentserver?pagename=<script>alert('vulnerable')</script> http/1.1 connection: keep-alive content-length: 36 host: 10.0.17.21 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000793) content-type: application/x-www-form-urlencoded <!--#include virtual=\""/index.jsp\""-->",GET /servlet/ContentServer?pagename=<script>alert('Vulnerable')</script> HTTP/1.1,get /servlet/contentserver?pagename=<script>alert('vulnerable')</script> http/1.1,GET,/servlet/ContentServer?pagename=<script>alert('Vulnerable')</script>,/servlet/ContentServer,/servlet/contentserver,pagename=<script>alert('Vulnerable')</script>,pagename=<script>alert('vulnerable')</script>,"Connection: Keep-Alive
Content-Length: 36
Host: 10.0.17.21
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000793)
Content-Type: application/x-www-form-urlencoded",connection: keep-alive content-length: 36 host: 10.0.17.21 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000793) content-type: application/x-www-form-urlencoded,"<!--#include virtual=\""/index.jsp\""-->","<!--#include virtual=\""/index.jsp\""-->",10.0.17.21,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000793),application/x-www-form-urlencoded,"/servlet/contentserver pagename=<script>alert('vulnerable')</script> <!--#include virtual=\""/index.jsp\""--> connection: keep-alive content-length: 36 host: 10.0.17.21 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000793) content-type: application/x-www-form-urlencoded",PortScan,Cross_Site_Scripting
"GET /modules.php?name=Your_Account&op=userinfo&username=bla<script>alert(document.cookie)</script> HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000855)\r\nContent-Type: application/x-www-form-urlencoded\r\nConnection: Keep-Alive\r\nHost: 10.0.17.26\r\nContent-Length: 36\r\n\r\n<!--#include virtual=\""/index.jsp\""-->",HOST_Scan,PortScan,HOST_Scan.csv,unspecified,36911,HOST_Scan.csv::36911,"GET /modules.php?name=Your_Account&op=userinfo&username=bla<script>alert(document.cookie)</script> HTTP/1.1
User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000855)
Content-Type: application/x-www-form-urlencoded
Connection: Keep-Alive
Host: 10.0.17.26
Content-Length: 36

<!--#include virtual=\""/index.jsp\""-->","get /modules.php?name=your_account&op=userinfo&username=bla<script>alert(document.cookie)</script> http/1.1 user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000855) content-type: application/x-www-form-urlencoded connection: keep-alive host: 10.0.17.26 content-length: 36 <!--#include virtual=\""/index.jsp\""-->",GET /modules.php?name=Your_Account&op=userinfo&username=bla<script>alert(document.cookie)</script> HTTP/1.1,get /modules.php?name=your_account&op=userinfo&username=bla<script>alert(document.cookie)</script> http/1.1,GET,/modules.php?name=Your_Account&op=userinfo&username=bla<script>alert(document.cookie)</script>,/modules.php,/modules.php,name=Your_Account&op=userinfo&username=bla<script>alert(document.cookie)</script>,name=your_account&op=userinfo&username=bla<script>alert(document.cookie)</script>,"User-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000855)
Content-Type: application/x-www-form-urlencoded
Connection: Keep-Alive
Host: 10.0.17.26
Content-Length: 36",user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000855) content-type: application/x-www-form-urlencoded connection: keep-alive host: 10.0.17.26 content-length: 36,"<!--#include virtual=\""/index.jsp\""-->","<!--#include virtual=\""/index.jsp\""-->",10.0.17.26,Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:000855),application/x-www-form-urlencoded,"/modules.php name=your_account&op=userinfo&username=bla<script>alert(document.cookie)</script> <!--#include virtual=\""/index.jsp\""--> user-agent: mozilla/5.00 (nikto/2.1.6) (evasions:none) (test:000855) content-type: application/x-www-form-urlencoded connection: keep-alive host: 10.0.17.26 content-length: 36",PortScan,Cross_Site_Scripting
CONNECT example.com:80 HTTP/1.1\r\nHost: example.com:80\r\nConnection: keep-alive\r\n\r\n,HOST_Scan,PortScan,HOST_Scan.csv,unspecified,6970,HOST_Scan.csv::6970,"CONNECT example.com:80 HTTP/1.1
Host: example.com:80
Connection: keep-alive

",connect example.com:80 http/1.1 host: example.com:80 connection: keep-alive,CONNECT example.com:80 HTTP/1.1,connect example.com:80 http/1.1,CONNECT,example.com:80,example.com:80,example.com:80,,,"Host: example.com:80
Connection: keep-alive",host: example.com:80 connection: keep-alive,,,example.com:80,,,example.com:80 host: example.com:80 connection: keep-alive,PortScan,Normal
